X,Rodada,Scouts,status,status_id,media,pontos,apelido,preco,partida_data,jogos,variacao,id,clube,posicao
7,4,FS=4;PE=3;FC=2,Provável,7,0.05,-0.1,Márcio Araújo,6.56,31/05/2015,2,-0.66,38311,flamengo,Meia
8,4,,Provável,7,2.53,1.5,Marquinhos Santos,6.55,30/05/2015,3,-0.07,81031,coritiba,Técnico
9,4,FS=3;PE=2;RB=2,Nulo,6,2.15,0.7,Jefferson,6.53,31/05/2015,2,-0.27,81950,figueirense,Meia
10,4,FS=1;PE=1;RB=3;FC=4,Provável,7,1.65,-1,Valencia,6.5,31/05/2015,2,-0.86,50417,santos,Meia
11,4,FS=11;PE=7;FT=1;I=1;RB=3;FC=6;CA=2;FF=2,Nulo,6,1.97,-0.9,Taiberson,6.49,31/05/2015,3,-0.77,80280,internacional,Atacante
12,4,SG=1;FS=5;PE=5;RB=3;FC=5;CA=2,Provável,7,1.53,1.1,Norberto ,6.48,30/05/2015,3,-0.25,80374,coritiba,Lateral
13,4,FS=1;PE=2;I=2;FD=1,Nulo,6,-0.05,-0.3,Roni,6.48,30/05/2015,2,-0.74,78965,ponte preta,Meia
14,4,FS=2;PE=8;RB=3;FC=3;CA=1;FF=1,Provável,7,0.3,0.5,Wagner,6.41,31/05/2015,3,-0.55,37674,fluminense,Meia
15,4,PE=2;RB=3;FC=3;FD=1,Dúvida,2,4,4,Víctor Cáceres,6.36,31/05/2015,1,0.36,69268,flamengo,Meia
16,4,SG=1;FS=8;PE=5;RB=4;FC=5;CA=1;FD=1,Provável,7,3.6,-0.8,Marquinhos Pedroso,6.35,31/05/2015,3,-1.23,80552,figueirense,Lateral
17,4,SG=1;FC=2,Nulo,6,4,0,Yago,6.33,31/05/2015,1,0,77500,corinthians,Zagueiro
18,4,FS=4;PE=1;A=1;RB=2;FC=2;CA=1;FF=1;FD=1,Provável,7,4.4,9.3,Thiago Mendes,6.28,31/05/2015,2,2.72,71123,são paulo,Meia
19,4,FS=3;PE=5;RB=4;FC=5;FF=1,Provável,7,1.67,2.4,Anselmo,6.26,30/05/2015,3,0.47,68910,joinville,Meia
20,4,SG=1;DD=1,Provável,7,8,8,Danilo Fernandes,6.25,31/05/2015,1,2.25,69051,sport,Goleiro
1,4,PE=2,Dúvida,2,-0.6,-0.6,Dellatorre,6.24,30/05/2015,1,-1.76,77579,atlético-pr,Atacante
2,4,PE=3;RB=2;FC=3;FF=1,Dúvida,2,0.85,0.8,Marcinho,6.18,31/05/2015,2,-0.86,38763,vasco,Meia
3,4,FS=1;PE=2;RB=1;FC=3;FF=1,Contundido,5,0.8,0,Claudio Winck,6.17,31/05/2015,1,0,74074,internacional,Lateral
4,4,FS=5;PE=8;RB=3;FC=3;CA=2;FF=5;FD=2,Provável,7,1.73,0,Gilberto,6.15,31/05/2015,3,-0.53,61188,vasco,Atacante
5,4,FS=2;RB=2;FC=3;FF=1,Nulo,6,1.8,0,Pierre,6.12,31/05/2015,2,0,38440,fluminense,Meia
6,4,FS=8;PE=10;RB=3;FC=4;CA=1;FF=2,Provável,7,1.17,1.5,Pablo,6.09,30/05/2015,3,0.21,60794,avaí,Lateral
7,4,,Nulo,6,0,0,Rafael Bastos,6,31/05/2015,0,0,51476,figueirense,Meia
8,4,,Nulo,6,0,0,Wanderson,6,30/05/2015,0,0,51293,chapecoense,Meia
9,4,,Nulo,6,0,0,Willian,6,31/05/2015,0,0,81952,sport,Meia
10,4,,Contundido,5,0,0,Ramon,6,31/05/2015,0,0,37783,goiás,Meia
11,4,,Nulo,6,0,0,Alan Costa,6,31/05/2015,0,0,82613,internacional,Zagueiro
12,4,,Contundido,5,0,0,Geandro,6,30/05/2015,0,0,82337,joinville,Meia
13,4,,Provável,7,0,0,Mena,6,31/05/2015,0,0,77967,cruzeiro,Lateral
14,4,,Nulo,6,0,0,Amaral,6,31/05/2015,0,0,42232,palmeiras,Meia
15,4,,Nulo,6,0,0,Aranha,6,31/05/2015,0,0,37984,palmeiras,Goleiro
16,4,,Contundido,5,0,0,Daniel,6,31/05/2015,0,0,85629,são paulo,Meia
17,4,,Nulo,6,0,0,Walter,6,31/05/2015,0,0,51413,corinthians,Goleiro
18,4,,Contundido,5,0,0,Luciano,6,31/05/2015,0,0,80287,corinthians,Atacante
19,4,,Nulo,6,0,0,João Paulo,6,30/05/2015,0,0,62997,ponte preta,Lateral
20,4,,Nulo,6,0,0,Adrianinho,6,30/05/2015,0,0,38186,ponte preta,Meia
1,4,,Contundido,5,0,0,Alison,6,31/05/2015,0,0,73974,santos,Meia
2,4,,Nulo,6,0,0,Marlone,6,31/05/2015,0,0,80944,fluminense,Meia
3,4,,Nulo,6,0,0,João Filipe,6,31/05/2015,0,0,71090,fluminense,Zagueiro
4,4,,Contundido,5,0,0,Nixon,6,31/05/2015,0,0,80913,flamengo,Atacante
5,4,,Nulo,6,0,0,Henrique,6,31/05/2015,0,0,38365,fluminense,Zagueiro
6,4,,Nulo,6,0,0,Jean Patrick,6,31/05/2015,0,0,88379,vasco,Meia
7,4,,Nulo,6,0,0,Cássio,6,30/05/2015,0,0,42489,avaí,Zagueiro
8,4,,Nulo,6,0,0,Valmir Lucas,6,31/05/2015,0,0,63031,goiás,Zagueiro
9,4,,Nulo,6,0,0,Douglas Silva,6,31/05/2015,0,0,82306,vasco,Zagueiro
10,4,,Nulo,6,0,0,Lula,6,30/05/2015,0,0,88870,atlético-pr,Zagueiro
11,4,,Nulo,6,0,0,Diguinho,6,31/05/2015,0,0,37627,vasco,Meia
12,4,,Nulo,6,0,0,Anderson Salles,6,31/05/2015,0,0,70933,vasco,Zagueiro
13,4,SG=1;PE=1;RB=1;FC=1,Provável,7,2.95,4.7,Rhodolfo,5.99,31/05/2015,2,1.09,42501,grêmio,Zagueiro
14,4,FS=2;PE=3;FC=2,Provável,7,-0.45,0,Manoel,5.93,31/05/2015,2,0,69014,cruzeiro,Zagueiro
15,4,PE=1;FD=1,Nulo,6,0.7,0.7,Jael,5.92,30/05/2015,1,-1.08,60859,joinville,Atacante
